"device_ID","session_start_timeStamp","focal_start_timeStamp","scan_timeStamp","scanVars","input"
"B25CA928-6937-4DC6-A344-A9BF375C5B51","2021-01-23,18:49:05","2021-01-23,18:49:21","2021-01-23,18:49:51","input","nothing"
"B25CA928-6937-4DC6-A344-A9BF375C5B51","2021-01-23,18:49:05","2021-01-23,18:49:21","2021-01-23,18:50:21","input","nothing"
"B25CA928-6937-4DC6-A344-A9BF375C5B51","2021-01-23,18:49:05","2021-01-23,18:49:21","2021-01-23,18:51:21","input","nothing"
"B25CA928-6937-4DC6-A344-A9BF375C5B51","2021-01-23,18:49:05","2021-01-23,18:49:21","2021-01-23,18:51:51","input","nothing"
"B25CA928-6937-4DC6-A344-A9BF375C5B51","2021-01-23,18:49:05","2021-01-23,18:49:21","2021-01-23,18:52:21","input","nothing"
"B25CA928-6937-4DC6-A344-A9BF375C5B51","2021-01-23,18:49:05","2021-01-23,18:49:21","2021-01-23,18:52:51","input","nothing"
"B25CA928-6937-4DC6-A344-A9BF375C5B51","2021-01-23,18:49:05","2021-01-23,18:49:21","2021-01-23,18:53:21","input","nothing"
"B25CA928-6937-4DC6-A344-A9BF375C5B51","2021-01-23,18:49:05","2021-01-23,18:49:21","2021-01-23,18:53:51","input","nothing"
"B25CA928-6937-4DC6-A344-A9BF375C5B51","2021-01-23,18:49:05","2021-01-23,18:49:21","2021-01-23,18:54:21","input","nothing"
"B25CA928-6937-4DC6-A344-A9BF375C5B51","2021-01-23,18:49:05","2021-01-23,18:49:21","2021-01-23,18:54:51","input","nothing"
"B25CA928-6937-4DC6-A344-A9BF375C5B51","2021-01-23,18:49:05","2021-01-23,18:49:21","2021-01-23,18:55:21","input","nothing"
"B25CA928-6937-4DC6-A344-A9BF375C5B51","2021-01-23,18:49:05","2021-01-23,18:49:21","2021-01-23,18:55:51","input","nothing"
"B25CA928-6937-4DC6-A344-A9BF375C5B51","2021-01-23,18:49:05","2021-01-23,18:49:21","2021-01-23,18:56:21","input","nothing"
"B25CA928-6937-4DC6-A344-A9BF375C5B51","2021-01-23,18:49:05","2021-01-23,18:49:21","2021-01-23,18:56:51","input","nothing"
"B25CA928-6937-4DC6-A344-A9BF375C5B51","2021-01-23,18:49:05","2021-01-23,18:49:21","2021-01-23,18:57:21","input","nothing"
"B25CA928-6937-4DC6-A344-A9BF375C5B51","2021-01-23,18:49:05","2021-01-23,18:49:21","2021-01-23,18:57:51","input","nothing"
"B25CA928-6937-4DC6-A344-A9BF375C5B51","2021-01-23,18:49:05","2021-01-23,18:49:21","2021-01-23,18:58:21","input","nothing"
"B25CA928-6937-4DC6-A344-A9BF375C5B51","2021-01-23,18:49:05","2021-01-23,18:49:21","2021-01-23,18:58:51","input","nothing"
"B25CA928-6937-4DC6-A344-A9BF375C5B51","2021-01-23,18:49:05","2021-01-23,18:49:21","2021-01-23,18:59:21","input","nothing"
