Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
Sorrel Filly,2021-01-23 16:22,Focal sampling of sorrel filly (https://programs.ifas.ufl.edu/wild-discoveries/research-practice-materials/),LIVE,600,NA,No focal subject,Alert,Maintenance Behaviors,,POINT,30,30,NA,,
Sorrel Filly,2021-01-23 16:22,Focal sampling of sorrel filly (https://programs.ifas.ufl.edu/wild-discoveries/research-practice-materials/),LIVE,600,NA,No focal subject,Foraging/Eating,Maintenance Behaviors,,POINT,60,60,NA,,
Sorrel Filly,2021-01-23 16:22,Focal sampling of sorrel filly (https://programs.ifas.ufl.edu/wild-discoveries/research-practice-materials/),LIVE,600,NA,No focal subject,Locomotion,Maintenance Behaviors,,POINT,90,90,NA,,
Sorrel Filly,2021-01-23 16:22,Focal sampling of sorrel filly (https://programs.ifas.ufl.edu/wild-discoveries/research-practice-materials/),LIVE,600,NA,No focal subject,Laying down,Maintenance Behaviors,,POINT,120,120,NA,,
Sorrel Filly,2021-01-23 16:22,Focal sampling of sorrel filly (https://programs.ifas.ufl.edu/wild-discoveries/research-practice-materials/),LIVE,600,NA,No focal subject,Affiliation,Social Behaviors,,POINT,150,150,NA,,
Sorrel Filly,2021-01-23 16:22,Focal sampling of sorrel filly (https://programs.ifas.ufl.edu/wild-discoveries/research-practice-materials/),LIVE,600,NA,No focal subject,Affiliation,Social Behaviors,,POINT,180,180,NA,,
Sorrel Filly,2021-01-23 16:22,Focal sampling of sorrel filly (https://programs.ifas.ufl.edu/wild-discoveries/research-practice-materials/),LIVE,600,NA,No focal subject,Affiliation,Social Behaviors,,POINT,210,210,NA,,
Sorrel Filly,2021-01-23 16:22,Focal sampling of sorrel filly (https://programs.ifas.ufl.edu/wild-discoveries/research-practice-materials/),LIVE,600,NA,No focal subject,Alert,Maintenance Behaviors,,POINT,240,240,NA,,
Sorrel Filly,2021-01-23 16:22,Focal sampling of sorrel filly (https://programs.ifas.ufl.edu/wild-discoveries/research-practice-materials/),LIVE,600,NA,No focal subject,Foraging/Eating,Maintenance Behaviors,,POINT,270,270,NA,,
Sorrel Filly,2021-01-23 16:22,Focal sampling of sorrel filly (https://programs.ifas.ufl.edu/wild-discoveries/research-practice-materials/),LIVE,600,NA,No focal subject,Grooming,Maintenance Behaviors,,POINT,300,300,NA,,
Sorrel Filly,2021-01-23 16:22,Focal sampling of sorrel filly (https://programs.ifas.ufl.edu/wild-discoveries/research-practice-materials/),LIVE,600,NA,No focal subject,Foraging/Eating,Maintenance Behaviors,,POINT,330,330,NA,,
Sorrel Filly,2021-01-23 16:22,Focal sampling of sorrel filly (https://programs.ifas.ufl.edu/wild-discoveries/research-practice-materials/),LIVE,600,NA,No focal subject,Foraging/Eating,Maintenance Behaviors,,POINT,360,360,NA,,
Sorrel Filly,2021-01-23 16:22,Focal sampling of sorrel filly (https://programs.ifas.ufl.edu/wild-discoveries/research-practice-materials/),LIVE,600,NA,No focal subject,Foraging/Eating,Maintenance Behaviors,,POINT,390,390,NA,,
Sorrel Filly,2021-01-23 16:22,Focal sampling of sorrel filly (https://programs.ifas.ufl.edu/wild-discoveries/research-practice-materials/),LIVE,600,NA,No focal subject,Foraging/Eating,Maintenance Behaviors,,POINT,420,420,NA,,
Sorrel Filly,2021-01-23 16:22,Focal sampling of sorrel filly (https://programs.ifas.ufl.edu/wild-discoveries/research-practice-materials/),LIVE,600,NA,No focal subject,Foraging/Eating,Maintenance Behaviors,,POINT,450,450,NA,,
Sorrel Filly,2021-01-23 16:22,Focal sampling of sorrel filly (https://programs.ifas.ufl.edu/wild-discoveries/research-practice-materials/),LIVE,600,NA,No focal subject,Drinking,Maintenance Behaviors,,POINT,480,480,NA,,
Sorrel Filly,2021-01-23 16:22,Focal sampling of sorrel filly (https://programs.ifas.ufl.edu/wild-discoveries/research-practice-materials/),LIVE,600,NA,No focal subject,Drinking,Maintenance Behaviors,,POINT,510,510,NA,,
Sorrel Filly,2021-01-23 16:22,Focal sampling of sorrel filly (https://programs.ifas.ufl.edu/wild-discoveries/research-practice-materials/),LIVE,600,NA,No focal subject,Alert,Maintenance Behaviors,,POINT,540,540,NA,,
Sorrel Filly,2021-01-23 16:22,Focal sampling of sorrel filly (https://programs.ifas.ufl.edu/wild-discoveries/research-practice-materials/),LIVE,600,NA,No focal subject,Play,Social Behaviors,,POINT,570,570,NA,,
Sorrel Filly,2021-01-23 16:22,Focal sampling of sorrel filly (https://programs.ifas.ufl.edu/wild-discoveries/research-practice-materials/),LIVE,600,NA,No focal subject,Affiliation,Social Behaviors,,POINT,600,600,NA,,
