SessionID,Configuration Name,Observer,DeviceID,Session Start Time,Session End Time,DateTime,Date,Time,Year,Month,Hour,Project Animals,Duration,Grid Size,Image Size,Notes,Channel Type,Focal Name,Frame Number,Interval Channel 1 Name,Interval Channel 1 Value,Interval Channel 1 Social Modifier,Space Use Grid X,Space Use Grid Y,Space Use Grid XY,Space Use Coordinate X,Space Use Coordinate Y,Space Use Coordinate XY,Question: Date_5,Question: Weather_6
1,Horse practice,Xavier Francis,f99e89b4-c612-413c-8e03-ae2d614d6328,3/9/2021 21:59,3/9/2021 22:09,3/9/2021 22:00,3/9/2021,22:00:26,2021,3,22,"sorrel filly,Brown Horse,Blonde Horse",10,"5,5",600x600,,Interval,sorrel filly,1,Interval Behaviors,Alert,,1,1,"1, 1",20,101,"20, 101",3082021,Sunny
1,Horse practice,Xavier Francis,f99e89b4-c612-413c-8e03-ae2d614d6328,3/9/2021 21:59,3/9/2021 22:09,3/9/2021 22:00,3/9/2021,22:00:56,2021,3,22,"sorrel filly,Brown Horse,Blonde Horse",10,"5,5",600x600,,Interval,sorrel filly,2,Interval Behaviors,Foraging/Eating,,,,,,,,3082021,Sunny
1,Horse practice,Xavier Francis,f99e89b4-c612-413c-8e03-ae2d614d6328,3/9/2021 21:59,3/9/2021 22:09,3/9/2021 22:01,3/9/2021,22:01:26,2021,3,22,"sorrel filly,Brown Horse,Blonde Horse",10,"5,5",600x600,,Interval,sorrel filly,3,Interval Behaviors,Locamotion,,,,,,,,3082021,Sunny
1,Horse practice,Xavier Francis,f99e89b4-c612-413c-8e03-ae2d614d6328,3/9/2021 21:59,3/9/2021 22:09,3/9/2021 22:01,3/9/2021,22:01:56,2021,3,22,"sorrel filly,Brown Horse,Blonde Horse",10,"5,5",600x600,,Interval,sorrel filly,4,Interval Behaviors,Laying-Down,,,,,,,,3082021,Sunny
1,Horse practice,Xavier Francis,f99e89b4-c612-413c-8e03-ae2d614d6328,3/9/2021 21:59,3/9/2021 22:09,3/9/2021 22:02,3/9/2021,22:02:26,2021,3,22,"sorrel filly,Brown Horse,Blonde Horse",10,"5,5",600x600,,Interval,sorrel filly,5,Interval Behaviors,Affiliative,Brown Horse,,,,,,,3082021,Sunny
1,Horse practice,Xavier Francis,f99e89b4-c612-413c-8e03-ae2d614d6328,3/9/2021 21:59,3/9/2021 22:09,3/9/2021 22:02,3/9/2021,22:02:56,2021,3,22,"sorrel filly,Brown Horse,Blonde Horse",10,"5,5",600x600,,Interval,sorrel filly,6,Interval Behaviors,Affiliative,Blonde Horse,,,,,,,3082021,Sunny
1,Horse practice,Xavier Francis,f99e89b4-c612-413c-8e03-ae2d614d6328,3/9/2021 21:59,3/9/2021 22:09,3/9/2021 22:03,3/9/2021,22:03:26,2021,3,22,"sorrel filly,Brown Horse,Blonde Horse",10,"5,5",600x600,,Interval,sorrel filly,7,Interval Behaviors,Affiliative,Blonde Horse,,,,,,,3082021,Sunny
1,Horse practice,Xavier Francis,f99e89b4-c612-413c-8e03-ae2d614d6328,3/9/2021 21:59,3/9/2021 22:09,3/9/2021 22:03,3/9/2021,22:03:56,2021,3,22,"sorrel filly,Brown Horse,Blonde Horse",10,"5,5",600x600,,Interval,sorrel filly,8,Interval Behaviors,Alert,,,,,,,,3082021,Sunny
1,Horse practice,Xavier Francis,f99e89b4-c612-413c-8e03-ae2d614d6328,3/9/2021 21:59,3/9/2021 22:09,3/9/2021 22:04,3/9/2021,22:04:26,2021,3,22,"sorrel filly,Brown Horse,Blonde Horse",10,"5,5",600x600,,Interval,sorrel filly,9,Interval Behaviors,Foraging/Eating,,,,,,,,3082021,Sunny
1,Horse practice,Xavier Francis,f99e89b4-c612-413c-8e03-ae2d614d6328,3/9/2021 21:59,3/9/2021 22:09,3/9/2021 22:04,3/9/2021,22:04:56,2021,3,22,"sorrel filly,Brown Horse,Blonde Horse",10,"5,5",600x600,,Interval,sorrel filly,10,Interval Behaviors,Grooming,,,,,,,,3082021,Sunny
